File prefix,Document,Country,NSS/WP/DD,ISO Alpha-3 Code,M49 code,Year,Length,segment_count,word_count,Language 1,Language 2,Language 3,Language 4,Language 5,Language 6,Language 7,Language 8,Language 9,Language 10,Language 11,Publishing Ministry,URL Link to Docs,G77 Member,G77_Member_Binary
716,716 Sweden Total Defence 2025-2030_translated,Sweden,WP,SWE,752,2024,174,3831,85785,English (Translated),Swedish (Original),,,,,,,,,,Ministry of Defence,,No,0
715,715 Norway Total Defence White Paper 2024_translated,Norway,WP,NOR,578,2024,144,3435,70510,English (Translated),Norwegian (Original),,,,,,,,,,Norwegian Ministry of Justice and Public Security,,No,0
714,714 Norway Societal Security in an Uncertain World 2020,Norway,WP,NOR,578,2020,172,4827,98055,English (Translated),Norwegian (Original),,,,,,,,,,Norwegian Ministry of Justice and Public Security,,No,0
713,713 Norway Risk in a Safe Society 2016_translated,Norway,WP,NOR,578,2016,193,5483,109924,English (Translated),Norwegian (Original),,,,,,,,,,Norwegian Ministry of Justice and Public Security,,No,0
712,712 Norway Long Term Defence Plan 2020,Norway,DD,NOR,578,2020,143,3978,84889,English (Translated),Norwegian (Original),,,,,,,,,,Norwegian Ministry of Defence,,No,0
711,711 Norway Long Term Defence Plan 2016_translated,Norway,DD,NOR,578,2016,121,3722,77379,English (Translated),Norwegian (Original),,,,,,,,,,Norwegian Ministry of Defence,,No,0
710,710 Norway Long Term Defence Plan 2013_translated,Norway,DD,NOR,578,2013,162,4938,103622,English (Translated),Norwegian (Original),,,,,,,,,,Norwegian Ministry of Defence,,No,0
709,709 Norway Long Term Defence Plan 2009,Norway,DD,NOR,578,2009,164,5446,113922,English (Translated),Norwegian (Original),,,,,,,,,,Norwegian Ministry of Defence,,No,0
708,708 Norway Long Term Defence Plan 2005_translated,Norway,DD,NOR,578,2005,132,4489,91358,English (Translated),Norwegian (Original),,,,,,,,,,Norwegian Ministry of Defence,,No,0
707,707 Norway Long Term Defence Plan 1999_translated,Norway,DD,NOR,578,1999,113,4467,92149,English (Translated),Norwegian (Original),,,,,,,,,,Norwegian Ministry of Defence,,No,0
706,706 Norway Long Term Defence Plan 1994_translated,Norway,DD,NOR,578,1994,159,5365,121178,English (Translated),Norwegian (Original),,,,,,,,,,Norwegian Ministry of Defence,,No,0
705,705 Norway Long Term Defence Plan 1989_translated,Norway,DD,NOR,578,1989,181,6433,128600,English (Translated),Norwegian (Original),,,,,,,,,,Norwegian Ministry of Defence,,No,0
704,704 Norway Long Term Defence Plan 2024,Norway,DD,NOR,578,2024,148,4094,86565,English (Translated),Norwegian (Original),,,,,,,,,,Norwegian Ministry of Defence,,No,0
703,703 Finland Security Strategy for Society 2025,Finland,NSS,FIN,246,2025,153,2112,46880,English,,,,,,,,,,,Security Committee,,No,0
702,702 Finland Foreign and Security Policy 2024,Finland,WP,FIN,246,2024,55,832,17977,English,,,,,,,,,,,Prime Ministers Office,,No,0
701,701 Denmark National Compromise on Danish Security Policy 2022_translated,Denmark,WP,DNK,208,2022,3,38,987,English (Translated),Danish (Original),,,,,,,,,,Central Government,,No,0
700,700 Denmark Defence Agreement 2024-2033_translated,Denmark,WP,DNK,208,2024,17,329,8937,English (Translated),Danish (Original),,,,,,,,,,Central Government,,No,0
699,699 Thailand RTAF White Paper 2024,Thailand,WP,THA,764,2024,64,478,19555,English (Translated),,,,,,,,,,,Ministry of Defence,,Yes,1
698,698 Philippines National Security Policy Manual 2023,Philippines,NSS,PHL,608,2023,48,464,13769,English,,,,,,,,,,,National Security Council,,Yes,1
696,696 New Zealand Defence Capability Plan 2025,New Zealand,DD,NZL,554,2025,25,508,11448,English,,,,,,,,,,,Ministry of Defence,,No,0
695,695 Moldova Military Strategy 2025-2035,Moldova,DD,MDA,498,2025,95,857,28855,English (Translated),,,,,,,,,,,Ministry of Defense,,No,0
694,694 Norway National Security Strategy 2025,Norway,NSS,NOR,578,2025,36,445,8138,English,,,,,,,,,,,Office of the Prime Minister of Norway,,No,0
693,693 Burkina Faso Politique de Sécurité Nationale 2023,Burkina Faso,NSS,BFA,854,2023,59,730,17756,English (Translated),,,,,,,,,,,National Security Council,,Yes,1
692,692 Sierra Leone National Security Policy and Strategy 2024,Sierra Leone,NSS,SLE,694,2024,44,514,13746,English,,,,,,,,,,,Office of National Security,,Yes,1
691,691 South Africa National Security Strategy 2024-2028,South Africa,NSS,ZAF,710,2024,47,524,15132,English,,,,,,,,,,,Presidency,,Yes,1
690,690 Brazil National Defence Policy and National Defence Strategy 2025,Brazil,NSS,BRA,76,2025,57,592,17172,English (Translated),,,,,,,,,,,Ministry of Defense,,Yes,1
689,689 France National Strategic Review 2025,France,NSS,FRA,250,2025,134,1416,39389,English,,,,,,,,,,,National Security Council,,No,0
688,688 China National Security in the New Era 2025,China,NSS,CHN,156,2025,46,586,15139,English (Translated),Chinese (Original),,,,,,,,,,State Council Information Office,,Associate,1
